przystanek;nr_przystanku;linia;dzień;godzina docelowa
Centrum Olimpijskie;02;114;2024-06-23;05:19:00
Centrum Olimpijskie;02;114;2024-06-23;05:49:00
Centrum Olimpijskie;02;114;2024-06-23;06:19:00
Centrum Olimpijskie;02;114;2024-06-23;06:49:00
Centrum Olimpijskie;02;114;2024-06-23;07:19:00
Centrum Olimpijskie;02;114;2024-06-23;07:49:00
Centrum Olimpijskie;02;114;2024-06-23;08:12:00
Centrum Olimpijskie;02;114;2024-06-23;08:32:00
Centrum Olimpijskie;02;114;2024-06-23;08:52:00
Centrum Olimpijskie;02;114;2024-06-23;09:12:00
Centrum Olimpijskie;02;114;2024-06-23;09:32:00
Centrum Olimpijskie;02;114;2024-06-23;09:52:00
Centrum Olimpijskie;02;114;2024-06-23;10:12:00
Centrum Olimpijskie;02;114;2024-06-23;10:32:00
Centrum Olimpijskie;02;114;2024-06-23;10:52:00
Centrum Olimpijskie;02;114;2024-06-23;11:12:00
Centrum Olimpijskie;02;114;2024-06-23;11:32:00
Centrum Olimpijskie;02;114;2024-06-23;11:52:00
Centrum Olimpijskie;02;114;2024-06-23;12:12:00
Centrum Olimpijskie;02;114;2024-06-23;12:32:00
Centrum Olimpijskie;02;114;2024-06-23;12:52:00
Centrum Olimpijskie;02;114;2024-06-23;13:12:00
Centrum Olimpijskie;02;114;2024-06-23;13:32:00
Centrum Olimpijskie;02;114;2024-06-23;13:52:00
Centrum Olimpijskie;02;114;2024-06-23;14:12:00
Centrum Olimpijskie;02;114;2024-06-23;14:32:00
Centrum Olimpijskie;02;114;2024-06-23;14:52:00
Centrum Olimpijskie;02;114;2024-06-23;15:12:00
Centrum Olimpijskie;02;114;2024-06-23;15:32:00
Centrum Olimpijskie;02;114;2024-06-23;15:52:00
Centrum Olimpijskie;02;114;2024-06-23;16:12:00
Centrum Olimpijskie;02;114;2024-06-23;16:32:00
Centrum Olimpijskie;02;114;2024-06-23;16:52:00
Centrum Olimpijskie;02;114;2024-06-23;17:12:00
Centrum Olimpijskie;02;114;2024-06-23;17:32:00
Centrum Olimpijskie;02;114;2024-06-23;17:52:00
Centrum Olimpijskie;02;114;2024-06-23;18:12:00
Centrum Olimpijskie;02;114;2024-06-23;18:32:00
Centrum Olimpijskie;02;114;2024-06-23;18:52:00
Centrum Olimpijskie;02;114;2024-06-23;19:12:00
Centrum Olimpijskie;02;114;2024-06-23;19:32:00
Centrum Olimpijskie;02;114;2024-06-23;19:52:00
Centrum Olimpijskie;02;114;2024-06-23;20:11:00
Centrum Olimpijskie;02;114;2024-06-23;20:31:00
Centrum Olimpijskie;02;114;2024-06-23;20:51:00
Centrum Olimpijskie;02;114;2024-06-23;21:11:00
Centrum Olimpijskie;02;114;2024-06-23;21:31:00
Centrum Olimpijskie;02;114;2024-06-23;21:51:00
Centrum Olimpijskie;02;114;2024-06-23;22:19:00
Centrum Olimpijskie;02;114;2024-06-23;22:49:00
Centrum Olimpijskie;02;114;2024-06-23;23:19:00
Centrum Olimpijskie;02;114;2024-06-23;23:49:00
