przystanek,nr_przystanku,linia,kierunek,dzień,godzina przyjazdu
Pelcowizna,06,114,UKSW,2024-06-18,19:03:13
PKP Toruńska,01,114,UKSW,2024-06-18,19:04:00
Żerań FSO,03,114,UKSW,2024-06-18,19:05:15
most Grota-Roweckiego,01,114,UKSW,2024-06-18,19:07:58
Czarnieckiego,02,114,UKSW,2024-06-18,19:10:43
pl.Wilsona,06,114,UKSW,2024-06-18,19:13:31
Suzina,02,114,UKSW,2024-06-18,19:15:11
Centrum Olimpijskie,02,114,Bródno Podgrodzie,2024-06-18,19:00:51
most Grota-Roweckiego,02,114,Bródno Podgrodzie,2024-06-18,19:02:12
Żerań FSO,04,114,Bródno Podgrodzie,2024-06-18,19:04:12
PKP Toruńska,02,114,Bródno Podgrodzie,2024-06-18,19:05:23
Bazyliańska,01,114,Bródno Podgrodzie,2024-06-18,19:06:43
pl.Wilsona,05,114,Bródno Podgrodzie,2024-06-18,19:11:18
Czarnieckiego,01,114,Bródno Podgrodzie,2024-06-18,19:12:18
Centrum Olimpijskie,02,114,Bródno Podgrodzie,2024-06-18,19:13:18
most Grota-Roweckiego,02,114,Bródno Podgrodzie,2024-06-18,19:15:19
Żerań FSO,04,114,Bródno Podgrodzie,2024-06-18,19:17:18
PKP Toruńska,02,114,Bródno Podgrodzie,2024-06-18,19:18:18
Bazyliańska,01,114,Bródno Podgrodzie,2024-06-18,19:20:19
Pelcowizna,06,114,UKSW,2024-06-18,19:18:36
PKP Toruńska,01,114,UKSW,2024-06-18,19:19:36
Żerań FSO,03,114,UKSW,2024-06-18,19:20:36
most Grota-Roweckiego,01,114,UKSW,2024-06-18,19:22:37
Czarnieckiego,02,114,UKSW,2024-06-18,19:24:37
pl.Wilsona,06,114,UKSW,2024-06-18,19:27:38
Suzina,02,114,UKSW,2024-06-18,19:29:37
