przystanek,nr_przystanku,linia,kierunek,dzieñ,godzina przyjazdu
most Grota-Roweckiego,02,114,Bródno Podgrodzie,2024-06-22,15:42:02
¯erañ FSO,04,114,Bródno Podgrodzie,2024-06-22,15:44:02
PKP Toruñska,02,114,Bródno Podgrodzie,2024-06-22,15:45:33
Bazyliañska,01,114,Bródno Podgrodzie,2024-06-22,15:46:33
pl.Wilsona,05,114,Bródno Podgrodzie,2024-06-22,15:48:24
Czarnieckiego,01,114,Bródno Podgrodzie,2024-06-22,15:49:21
Centrum Olimpijskie,02,114,Bródno Podgrodzie,2024-06-22,15:51:32
most Grota-Roweckiego,02,114,Bródno Podgrodzie,2024-06-22,15:53:51
¯erañ FSO,04,114,Bródno Podgrodzie,2024-06-22,15:55:46
PKP Toruñska,02,114,Bródno Podgrodzie,2024-06-22,15:57:14
Bazyliañska,01,114,Bródno Podgrodzie,2024-06-22,15:58:30
Czarnieckiego,02,114,UKSW,2024-06-22,15:43:16
pl.Wilsona,06,114,UKSW,2024-06-22,15:45:39
Suzina,02,114,UKSW,2024-06-22,15:46:29
Pelcowizna,06,114,UKSW,2024-06-22,15:56:51
PKP Toruñska,01,114,UKSW,2024-06-22,15:57:34
¯erañ FSO,03,114,UKSW,2024-06-22,15:58:29
most Grota-Roweckiego,01,114,UKSW,2024-06-22,16:01:15
Czarnieckiego,02,114,UKSW,2024-06-22,16:04:57
pl.Wilsona,06,114,UKSW,2024-06-22,16:07:26
Suzina,02,114,UKSW,2024-06-22,16:08:16
pl.Wilsona,05,114,Bródno Podgrodzie,2024-06-22,16:14:10
Czarnieckiego,01,114,Bródno Podgrodzie,2024-06-22,16:14:59
Centrum Olimpijskie,02,114,Bródno Podgrodzie,2024-06-22,16:17:40
most Grota-Roweckiego,02,114,Bródno Podgrodzie,2024-06-22,16:18:42
¯erañ FSO,04,114,Bródno Podgrodzie,2024-06-22,16:20:15
PKP Toruñska,02,114,Bródno Podgrodzie,2024-06-22,16:21:28
Bazyliañska,01,114,Bródno Podgrodzie,2024-06-22,16:22:43
Pelcowizna,06,114,UKSW,2024-06-22,16:16:34
PKP Toruñska,01,114,UKSW,2024-06-22,16:18:04
¯erañ FSO,03,114,UKSW,2024-06-22,16:19:04
most Grota-Roweckiego,01,114,UKSW,2024-06-22,16:22:04
pl.Wilsona,06,114,UKSW,2024-06-22,16:31:05
Suzina,02,114,UKSW,2024-06-22,16:32:05
pl.Wilsona,05,114,Bródno Podgrodzie,2024-06-22,16:33:18
Czarnieckiego,01,114,Bródno Podgrodzie,2024-06-22,16:33:43
Centrum Olimpijskie,02,114,Bródno Podgrodzie,2024-06-22,16:35:17
most Grota-Roweckiego,02,114,Bródno Podgrodzie,2024-06-22,16:37:02
¯erañ FSO,04,114,Bródno Podgrodzie,2024-06-22,16:38:50
PKP Toruñska,02,114,Bródno Podgrodzie,2024-06-22,16:39:42
Bazyliañska,01,114,Bródno Podgrodzie,2024-06-22,16:40:44
