przystanek,nr_przystanku,linia,kierunek,dzień,godzina przyjazdu
Rogowska,01,500,rondo Radosława,2024-07-01,23:39:47
Szwedzka,02,190,CH Marki,2024-07-01,23:36:32
Rogowska,01,500,rondo Radosława,2024-07-01,23:39:47
Szwedzka,02,190,CH Marki,2024-07-01,23:36:32
Szwedzka,02,190,CH Marki,2024-07-01,23:36:32
Szwedzka,02,190,CH Marki,2024-07-01,23:36:32
Szwedzka,01,190,Os. Górczewska,2024-07-01,03:55:35
Rzeszotarskiej,01,190,Os. Górczewska,2024-07-01,03:56:00
Dw.Wileński,03,190,Os. Górczewska,2024-07-01,03:56:45
Park Praski,01,190,Os. Górczewska,2024-07-01,03:57:10
Stare Miasto,02,190,Os. Górczewska,2024-07-01,03:58:25
Metro Ratusz-Arsenał,10,190,Os. Górczewska,2024-07-01,03:59:35
Kino Femina,02,190,Os. Górczewska,2024-07-01,04:00:55
Wola-Ratusz,02,190,Os. Górczewska,2024-07-01,04:01:55
Szwedzka,02,190,CH Marki,2024-07-01,04:07:09
Szwedzka,02,190,CH Marki,2024-07-01,23:36:32
rondo Żaba,02,500,Bródno Podgrodzie,2024-07-01,04:05:40
Rogowska,02,500,Bródno Podgrodzie,2024-07-01,04:13:05
Szwedzka,01,190,Os. Górczewska,2024-07-01,04:18:06
Rzeszotarskiej,01,190,Os. Górczewska,2024-07-01,04:18:44
Dw.Wileński,03,190,Os. Górczewska,2024-07-01,04:20:46
Park Praski,01,190,Os. Górczewska,2024-07-01,04:21:10
Stare Miasto,02,190,Os. Górczewska,2024-07-01,04:22:31
Metro Ratusz-Arsenał,10,190,Os. Górczewska,2024-07-01,04:23:51
Kino Femina,02,190,Os. Górczewska,2024-07-01,04:24:38
Wola-Ratusz,02,190,Os. Górczewska,2024-07-01,04:25:37
rondo Żaba,02,500,Bródno Podgrodzie,2024-07-01,04:17:32
Rogowska,02,500,Bródno Podgrodzie,2024-07-01,04:17:57
Kołowa,02,500,Bródno Podgrodzie,2024-07-01,04:18:47
Przyczółek Grochowski,01,523,Stare Bemowo,2024-07-01,04:21:09
Międzynarodowa,01,523,Stare Bemowo,2024-07-01,04:22:54
Saska,01,523,Stare Bemowo,2024-07-01,04:24:13
Rozbrat,02,523,Stare Bemowo,2024-07-01,04:26:48
