przystanek;nr_przystanku;linia;dzień;godzina docelowa
6096;02;114;2024-07-05;05:19:00
6096;02;114;2024-07-05;05:39:00
6096;02;114;2024-07-05;05:59:00
6096;02;114;2024-07-05;06:19:00
6096;02;114;2024-07-05;06:34:00
6096;02;114;2024-07-05;06:49:00
6096;02;114;2024-07-05;07:04:00
6096;02;114;2024-07-05;07:20:00
6096;02;114;2024-07-05;07:35:00
6096;02;114;2024-07-05;07:52:00
6096;02;114;2024-07-05;08:08:00
6096;02;114;2024-07-05;08:23:00
6096;02;114;2024-07-05;08:38:00
6096;02;114;2024-07-05;08:53:00
6096;02;114;2024-07-05;09:08:00
6096;02;114;2024-07-05;09:20:00
6096;02;114;2024-07-05;09:35:00
6096;02;114;2024-07-05;09:55:00
6096;02;114;2024-07-05;10:15:00
6096;02;114;2024-07-05;10:35:00
6096;02;114;2024-07-05;10:55:00
6096;02;114;2024-07-05;11:15:00
6096;02;114;2024-07-05;11:35:00
6096;02;114;2024-07-05;11:55:00
6096;02;114;2024-07-05;12:15:00
6096;02;114;2024-07-05;12:35:00
6096;02;114;2024-07-05;12:55:00
6096;02;114;2024-07-05;13:15:00
6096;02;114;2024-07-05;13:35:00
6096;02;114;2024-07-05;13:55:00
6096;02;114;2024-07-05;14:12:00
6096;02;114;2024-07-05;14:27:00
6096;02;114;2024-07-05;14:42:00
6096;02;114;2024-07-05;14:57:00
6096;02;114;2024-07-05;15:12:00
6096;02;114;2024-07-05;15:28:00
6096;02;114;2024-07-05;15:43:00
6096;02;114;2024-07-05;15:58:00
6096;02;114;2024-07-05;16:13:00
6096;02;114;2024-07-05;16:28:00
6096;02;114;2024-07-05;16:43:00
6096;02;114;2024-07-05;16:58:00
6096;02;114;2024-07-05;17:13:00
6096;02;114;2024-07-05;17:28:00
6096;02;114;2024-07-05;17:43:00
6096;02;114;2024-07-05;17:58:00
6096;02;114;2024-07-05;18:16:00
6096;02;114;2024-07-05;18:36:00
6096;02;114;2024-07-05;18:56:00
6096;02;114;2024-07-05;19:15:00
6096;02;114;2024-07-05;19:35:00
6096;02;114;2024-07-05;19:55:00
6096;02;114;2024-07-05;20:15:00
6096;02;114;2024-07-05;20:35:00
6096;02;114;2024-07-05;20:55:00
6096;02;114;2024-07-05;21:14:00
6096;02;114;2024-07-05;21:34:00
6096;02;114;2024-07-05;21:54:00
6096;02;114;2024-07-05;22:19:00
6096;02;114;2024-07-05;22:49:00
6096;02;114;2024-07-05;23:19:00
6096;02;114;2024-07-05;23:49:00
6098;02;114;2024-07-05;04:48:00
6098;02;114;2024-07-05;05:18:00
6098;02;114;2024-07-05;05:35:00
6098;02;114;2024-07-05;05:50:00
6098;02;114;2024-07-05;06:05:00
6098;02;114;2024-07-05;06:21:00
6098;02;114;2024-07-05;06:35:00
6098;02;114;2024-07-05;06:50:00
6098;02;114;2024-07-05;07:05:00
6098;02;114;2024-07-05;07:20:00
6098;02;114;2024-07-05;07:35:00
6098;02;114;2024-07-05;07:50:00
6098;02;114;2024-07-05;08:05:00
6098;02;114;2024-07-05;08:20:00
6098;02;114;2024-07-05;08:35:00
6098;02;114;2024-07-05;08:50:00
6098;02;114;2024-07-05;09:08:00
6098;02;114;2024-07-05;09:26:00
6098;02;114;2024-07-05;09:46:00
6098;02;114;2024-07-05;10:06:00
6098;02;114;2024-07-05;10:26:00
6098;02;114;2024-07-05;10:46:00
6098;02;114;2024-07-05;11:06:00
6098;02;114;2024-07-05;11:26:00
6098;02;114;2024-07-05;11:46:00
6098;02;114;2024-07-05;12:06:00
6098;02;114;2024-07-05;12:26:00
6098;02;114;2024-07-05;12:46:00
6098;02;114;2024-07-05;13:06:00
6098;02;114;2024-07-05;13:26:00
6098;02;114;2024-07-05;13:42:00
6098;02;114;2024-07-05;13:57:00
6098;02;114;2024-07-05;14:12:00
6098;02;114;2024-07-05;14:27:00
6098;02;114;2024-07-05;14:42:00
6098;02;114;2024-07-05;14:57:00
6098;02;114;2024-07-05;15:12:00
6098;02;114;2024-07-05;15:25:00
6098;02;114;2024-07-05;15:42:00
6098;02;114;2024-07-05;15:57:00
6098;02;114;2024-07-05;16:12:00
6098;02;114;2024-07-05;16:27:00
6098;02;114;2024-07-05;16:42:00
6098;02;114;2024-07-05;16:57:00
6098;02;114;2024-07-05;17:12:00
6098;02;114;2024-07-05;17:27:00
6098;02;114;2024-07-05;17:42:00
6098;02;114;2024-07-05;17:57:00
6098;02;114;2024-07-05;18:12:00
6098;02;114;2024-07-05;18:27:00
6098;02;114;2024-07-05;18:42:00
6098;02;114;2024-07-05;18:57:00
6098;02;114;2024-07-05;19:12:00
6098;02;114;2024-07-05;19:27:00
6098;02;114;2024-07-05;19:46:00
6098;02;114;2024-07-05;20:06:00
6098;02;114;2024-07-05;20:26:00
6098;02;114;2024-07-05;20:46:00
6098;02;114;2024-07-05;21:06:00
6098;02;114;2024-07-05;21:26:00
6098;02;114;2024-07-05;21:48:00
6098;02;114;2024-07-05;22:08:00
