przystanek,nr_przystanku,linia,kierunek,dzień,godzina przyjazdu
Szwedzka,01,190,Os. Górczewska,2024-07-04,21:35:07
Szwedzka,01,190,Os. Górczewska,2024-07-04,19:45:18
Szwedzka,01,190,Os. Górczewska,2024-07-04,19:02:29
Szwedzka,02,190,CH Marki,2024-07-04,00:56:12
Szwedzka,02,190,CH Marki,2024-07-04,02:01:02
rondo Żaba,02,500,Bródno Podgrodzie,2024-07-04,02:42:31
Szwedzka,01,190,Os. Górczewska,2024-07-04,02:52:20
Szwedzka,01,190,Os. Górczewska,2024-07-04,21:35:07
Szwedzka,01,190,Os. Górczewska,2024-07-04,19:45:18
Szwedzka,01,190,Os. Górczewska,2024-07-04,19:02:29
Szwedzka,02,190,CH Marki,2024-07-04,00:56:12
Szwedzka,02,190,CH Marki,2024-07-04,02:01:02
Rogowska,01,500,rondo Radosława,2024-07-04,03:04:55
Szwedzka,01,190,Os. Górczewska,2024-07-04,03:13:42
Szwedzka,01,190,Os. Górczewska,2024-07-04,21:35:07
Szwedzka,01,190,Os. Górczewska,2024-07-04,19:45:18
Szwedzka,01,190,Os. Górczewska,2024-07-04,19:02:29
Szwedzka,02,190,CH Marki,2024-07-04,00:56:12
Szwedzka,02,190,CH Marki,2024-07-04,02:01:02
Rogowska,01,500,rondo Radosława,2024-07-04,03:27:40
Szwedzka,01,190,Os. Górczewska,2024-07-04,21:35:07
Szwedzka,01,190,Os. Górczewska,2024-07-04,19:02:29
Szwedzka,02,190,CH Marki,2024-07-04,02:01:02
Rogowska,01,500,rondo Radosława,2024-07-04,03:38:36
Szwedzka,01,190,Os. Górczewska,2024-07-04,09:06:00
Szwedzka,02,190,CH Marki,2024-07-04,03:52:45
Szwedzka,01,190,Os. Górczewska,2024-07-04,21:35:07
Szwedzka,01,190,Os. Górczewska,2024-07-04,19:02:29
Szwedzka,01,190,Os. Górczewska,2024-07-04,03:54:41
Rzeszotarskiej,01,190,Os. Górczewska,2024-07-04,03:55:24
Dw.Wileński,03,190,Os. Górczewska,2024-07-04,03:56:54
Park Praski,01,190,Os. Górczewska,2024-07-04,03:57:18
Stare Miasto,02,190,Os. Górczewska,2024-07-04,03:59:04
Metro Ratusz-Arsenał,10,190,Os. Górczewska,2024-07-04,04:01:17
Kino Femina,02,190,Os. Górczewska,2024-07-04,04:02:53
Wola-Ratusz,02,190,Os. Górczewska,2024-07-04,04:04:06
Rogowska,01,500,rondo Radosława,2024-07-04,03:56:31
Szwedzka,02,190,CH Marki,2024-07-04,04:06:07
Szwedzka,01,190,Os. Górczewska,2024-07-04,04:07:21
most Grota-Roweckiego,02,114,Bródno Podgrodzie,2024-07-04,04:07:38
Żerań FSO,04,114,Bródno Podgrodzie,2024-07-04,04:09:13
PKP Toruńska,02,114,Bródno Podgrodzie,2024-07-04,04:10:13
Bazyliańska,01,114,Bródno Podgrodzie,2024-07-04,04:10:30
Szwedzka,01,190,Os. Górczewska,2024-07-04,19:02:29
rondo Żaba,02,500,Bródno Podgrodzie,2024-07-04,04:19:59
Rogowska,02,500,Bródno Podgrodzie,2024-07-04,04:19:59
Przyczółek Grochowski,01,523,Stare Bemowo,2024-07-04,04:20:19
Międzynarodowa,01,523,Stare Bemowo,2024-07-04,04:21:44
Saska,01,523,Stare Bemowo,2024-07-04,04:22:51
Rozbrat,02,523,Stare Bemowo,2024-07-04,04:25:12
pl.Na Rozdrożu,06,523,Stare Bemowo,2024-07-04,04:27:04
Marszałkowska,02,523,Stare Bemowo,2024-07-04,04:28:05
Metro Politechnika,02,523,Stare Bemowo,2024-07-04,04:29:49
Szwedzka,01,190,Os. Górczewska,2024-07-04,04:23:24
Rzeszotarskiej,01,190,Os. Górczewska,2024-07-04,04:25:09
Dw.Wileński,03,190,Os. Górczewska,2024-07-04,04:26:59
Park Praski,01,190,Os. Górczewska,2024-07-04,04:27:29
Stare Miasto,02,190,Os. Górczewska,2024-07-04,04:29:24
Metro Ratusz-Arsenał,10,190,Os. Górczewska,2024-07-04,04:30:35
Kino Femina,02,190,Os. Górczewska,2024-07-04,04:31:48
Wola-Ratusz,02,190,Os. Górczewska,2024-07-04,04:32:47
Szwedzka,02,190,CH Marki,2024-07-04,04:24:16
Kijowska,03,26,Wiatraczna,2024-07-04,04:24:35
Bora-Komorowskiego,01,148,Lotnisko Chopina,2024-07-04,04:30:35
Horbaczewskiego,01,148,Lotnisko Chopina,2024-07-04,04:31:14
Gocław,09,148,Lotnisko Chopina,2024-07-04,04:33:16
most Siekierkowski,03,148,Lotnisko Chopina,2024-07-04,04:34:14
Siekierki-Sanktuarium,01,148,Lotnisko Chopina,2024-07-04,04:36:20
Małe Siekierki,01,148,Lotnisko Chopina,2024-07-04,04:39:09
Ogrody Działkowe Czerniaków,01,148,Lotnisko Chopina,2024-07-04,04:39:44
Centrum,09,9,Gocławek,2024-07-04,04:28:06
Krucza,05,9,Gocławek,2024-07-04,04:28:52
most Poniatowskiego,03,9,Gocławek,2024-07-04,04:32:53
rondo Waszyngtona,06,9,Gocławek,2024-07-04,04:34:31
Berezyńska,02,9,Gocławek,2024-07-04,04:36:06
Park Skaryszewski,04,9,Gocławek,2024-07-04,04:37:38
Berezyńska,01,9,P+R Al. Krakowska,2024-07-04,04:29:44
rondo Waszyngtona,05,9,P+R Al. Krakowska,2024-07-04,04:30:09
most Poniatowskiego,04,9,P+R Al. Krakowska,2024-07-04,04:32:10
Muzeum Narodowe,06,9,P+R Al. Krakowska,2024-07-04,04:34:31
Krucza,06,9,P+R Al. Krakowska,2024-07-04,04:35:52
Centrum,10,9,P+R Al. Krakowska,2024-07-04,04:36:52
Szwedzka,02,190,CH Marki,2024-07-04,02:01:02
rondo Żaba,02,500,Bródno Podgrodzie,2024-07-04,04:33:13
Rogowska,02,500,Bródno Podgrodzie,2024-07-04,04:34:34
Kołowa,02,500,Bródno Podgrodzie,2024-07-04,04:34:45
Pelcowizna,06,114,UKSW,2024-07-04,04:36:58
PKP Toruńska,01,114,UKSW,2024-07-04,04:37:57
Żerań FSO,03,114,UKSW,2024-07-04,04:38:29
most Grota-Roweckiego,01,114,UKSW,2024-07-04,04:40:40
Czarnieckiego,02,114,UKSW,2024-07-04,04:42:47
pl.Wilsona,06,114,UKSW,2024-07-04,04:46:16
Suzina,02,114,UKSW,2024-07-04,04:46:50
Szwedzka,02,190,CH Marki,2024-07-04,04:35:55
Berezyńska,01,9,P+R Al. Krakowska,2024-07-04,04:36:04
rondo Waszyngtona,05,9,P+R Al. Krakowska,2024-07-04,04:36:34
most Poniatowskiego,04,9,P+R Al. Krakowska,2024-07-04,04:38:50
Muzeum Narodowe,06,9,P+R Al. Krakowska,2024-07-04,04:41:27
Krucza,06,9,P+R Al. Krakowska,2024-07-04,04:41:52
Centrum,10,9,P+R Al. Krakowska,2024-07-04,04:42:42
Szwedzka,01,190,Os. Górczewska,2024-07-04,04:36:46
Rzeszotarskiej,01,190,Os. Górczewska,2024-07-04,04:37:56
Dw.Wileński,03,190,Os. Górczewska,2024-07-04,04:40:41
Park Praski,01,190,Os. Górczewska,2024-07-04,04:41:33
Stare Miasto,02,190,Os. Górczewska,2024-07-04,04:43:31
Metro Ratusz-Arsenał,10,190,Os. Górczewska,2024-07-04,04:45:27
Kino Femina,02,190,Os. Górczewska,2024-07-04,04:47:16
Wola-Ratusz,02,190,Os. Górczewska,2024-07-04,04:48:45
Wola-Ratusz,01,190,CH Marki,2024-07-04,04:39:58
Kino Femina,01,190,CH Marki,2024-07-04,04:41:09
Metro Ratusz-Arsenał,09,190,CH Marki,2024-07-04,04:43:33
Stare Miasto,01,190,CH Marki,2024-07-04,04:45:24
Park Praski,02,190,CH Marki,2024-07-04,04:47:04
Dw.Wileński,04,190,CH Marki,2024-07-04,04:48:14
Rzeszotarskiej,02,190,CH Marki,2024-07-04,04:49:59
Szwedzka,02,190,CH Marki,2024-07-04,04:50:58
rondo Żaba,02,500,Bródno Podgrodzie,2024-07-04,04:39:58
Rogowska,02,500,Bródno Podgrodzie,2024-07-04,04:39:58
Przyczółek Grochowski,01,523,Stare Bemowo,2024-07-04,04:40:44
Międzynarodowa,01,523,Stare Bemowo,2024-07-04,04:42:19
Saska,01,523,Stare Bemowo,2024-07-04,04:43:42
Rozbrat,02,523,Stare Bemowo,2024-07-04,04:46:20
pl.Na Rozdrożu,06,523,Stare Bemowo,2024-07-04,04:47:39
Marszałkowska,02,523,Stare Bemowo,2024-07-04,04:48:37
Metro Politechnika,02,523,Stare Bemowo,2024-07-04,04:50:58
pl.Hallera,04,6,Metro Młociny,2024-07-04,04:41:03
rondo Starzyńskiego,03,6,Metro Młociny,2024-07-04,04:43:00
Wybrzeże Helskie,03,6,Metro Młociny,2024-07-04,04:44:07
most Gdański,04,6,Metro Młociny,2024-07-04,04:45:41
Park Traugutta,04,6,Metro Młociny,2024-07-04,04:47:07
Dw.Gdański,06,6,Metro Młociny,2024-07-04,04:49:32
Berezyńska,01,9,P+R Al. Krakowska,2024-07-04,04:41:52
rondo Waszyngtona,05,9,P+R Al. Krakowska,2024-07-04,04:42:17
most Poniatowskiego,04,9,P+R Al. Krakowska,2024-07-04,04:44:08
Muzeum Narodowe,06,9,P+R Al. Krakowska,2024-07-04,04:47:09
Krucza,06,9,P+R Al. Krakowska,2024-07-04,04:48:50
Centrum,10,9,P+R Al. Krakowska,2024-07-04,04:49:51
"rondo ""Radosława""",03,500,Bródno Podgrodzie,2024-07-04,04:51:51
Baseny Inflancka,01,500,Bródno Podgrodzie,2024-07-04,04:50:56
Dw.Gdański,03,500,Bródno Podgrodzie,2024-07-04,04:49:55
rondo Starzyńskiego,02,500,Bródno Podgrodzie,2024-07-04,05:07:06
rondo Żaba,02,500,Bródno Podgrodzie,2024-07-04,04:43:30
Rogowska,02,500,Bródno Podgrodzie,2024-07-04,05:11:36
Kołowa,02,500,Bródno Podgrodzie,2024-07-04,05:12:41
Szwedzka,02,190,CH Marki,2024-07-04,04:45:03
Park Skaryszewski,03,9,P+R Al. Krakowska,2024-07-04,04:45:44
Berezyńska,01,9,P+R Al. Krakowska,2024-07-04,04:47:30
rondo Waszyngtona,05,9,P+R Al. Krakowska,2024-07-04,04:49:16
most Poniatowskiego,04,9,P+R Al. Krakowska,2024-07-04,04:51:22
Muzeum Narodowe,06,9,P+R Al. Krakowska,2024-07-04,04:54:29
Krucza,06,9,P+R Al. Krakowska,2024-07-04,04:56:04
Centrum,10,9,P+R Al. Krakowska,2024-07-04,04:57:35
Dw.Wileński,01,162,EC Siekierki,2024-07-04,04:45:42
Sierakowskiego,01,162,EC Siekierki,2024-07-04,04:47:58
os.Panieńska,01,162,EC Siekierki,2024-07-04,04:48:52
most Świętokrzyski,03,162,EC Siekierki,2024-07-04,04:50:27
Metro Centrum Nauki Kopernik,04,162,EC Siekierki,2024-07-04,04:51:33
Topiel,03,162,EC Siekierki,2024-07-04,04:53:11
PKP Powiśle,03,162,EC Siekierki,2024-07-04,04:54:32
Centrum,09,9,Gocławek,2024-07-04,04:46:44
Krucza,05,9,Gocławek,2024-07-04,04:47:50
Muzeum Narodowe,05,9,Gocławek,2024-07-04,04:48:30
most Poniatowskiego,03,9,Gocławek,2024-07-04,04:51:21
rondo Waszyngtona,06,9,Gocławek,2024-07-04,04:53:38
Berezyńska,02,9,Gocławek,2024-07-04,04:54:53
Park Skaryszewski,04,9,Gocławek,2024-07-04,04:56:09
Wola-Ratusz,03,26,Wiatraczna,2024-07-04,04:48:36
Kino Femina,05,26,Wiatraczna,2024-07-04,04:50:01
Metro Ratusz-Arsenał,09,26,Wiatraczna,2024-07-04,04:54:13
Stare Miasto,01,26,Wiatraczna,2024-07-04,04:56:09
Park Praski,02,26,Wiatraczna,2024-07-04,04:58:35
Dw.Wileński,07,26,Wiatraczna,2024-07-04,05:01:27
Ząbkowska,03,26,Wiatraczna,2024-07-04,05:01:27
Kijowska,03,26,Wiatraczna,2024-07-04,05:05:39
Kijowska,04,26,Metro Młociny,2024-07-04,04:50:49
Ząbkowska,04,26,Metro Młociny,2024-07-04,04:51:45
Dw.Wileński,03,26,Metro Młociny,2024-07-04,04:54:51
Park Praski,01,26,Metro Młociny,2024-07-04,04:56:07
Stare Miasto,02,26,Metro Młociny,2024-07-04,04:57:38
Metro Ratusz-Arsenał,10,26,Metro Młociny,2024-07-04,04:59:59
Kino Femina,06,26,Metro Młociny,2024-07-04,05:01:29
Wola-Ratusz,04,26,Metro Młociny,2024-07-04,05:03:20
Metro Politechnika,01,523,PKP Olszynka Grochowska,2024-07-04,04:50:00
Marszałkowska,01,523,PKP Olszynka Grochowska,2024-07-04,04:52:21
pl.Na Rozdrożu,05,523,PKP Olszynka Grochowska,2024-07-04,04:53:18
Rozbrat,01,523,PKP Olszynka Grochowska,2024-07-04,04:54:40
