przystanek;nr_przystanku;linia;dzień;godzina docelowa
6098;02;114;2024-07-06;04:48:00
6098;02;114;2024-07-06;05:18:00
6098;02;114;2024-07-06;05:48:00
6098;02;114;2024-07-06;06:18:00
6098;02;114;2024-07-06;06:48:00
6098;02;114;2024-07-06;07:07:00
6098;02;114;2024-07-06;07:28:00
6098;02;114;2024-07-06;07:48:00
6098;02;114;2024-07-06;08:08:00
6098;02;114;2024-07-06;08:28:00
6098;02;114;2024-07-06;08:48:00
6098;02;114;2024-07-06;09:08:00
6098;02;114;2024-07-06;09:28:00
6098;02;114;2024-07-06;09:48:00
6098;02;114;2024-07-06;10:08:00
6098;02;114;2024-07-06;10:28:00
6098;02;114;2024-07-06;10:48:00
6098;02;114;2024-07-06;11:08:00
6098;02;114;2024-07-06;11:28:00
6098;02;114;2024-07-06;11:48:00
6098;02;114;2024-07-06;12:08:00
6098;02;114;2024-07-06;12:28:00
6098;02;114;2024-07-06;12:48:00
6098;02;114;2024-07-06;13:08:00
6098;02;114;2024-07-06;13:28:00
6098;02;114;2024-07-06;13:48:00
6098;02;114;2024-07-06;14:08:00
6098;02;114;2024-07-06;14:28:00
6098;02;114;2024-07-06;14:48:00
6098;02;114;2024-07-06;15:08:00
6098;02;114;2024-07-06;15:28:00
6098;02;114;2024-07-06;15:48:00
6098;02;114;2024-07-06;16:08:00
6098;02;114;2024-07-06;16:28:00
6098;02;114;2024-07-06;16:48:00
6098;02;114;2024-07-06;17:08:00
6098;02;114;2024-07-06;17:28:00
6098;02;114;2024-07-06;17:48:00
6098;02;114;2024-07-06;18:08:00
6098;02;114;2024-07-06;18:28:00
6098;02;114;2024-07-06;18:48:00
6098;02;114;2024-07-06;19:08:00
6098;02;114;2024-07-06;19:28:00
6098;02;114;2024-07-06;19:48:00
6098;02;114;2024-07-06;20:08:00
6098;02;114;2024-07-06;20:28:00
6098;02;114;2024-07-06;20:48:00
6098;02;114;2024-07-06;21:08:00
6098;02;114;2024-07-06;21:28:00
6098;02;114;2024-07-06;21:48:00
6098;02;114;2024-07-06;22:08:00
6098;02;114;2024-07-06;22:28:00
6098;02;114;2024-07-06;22:48:00
6098;02;114;2024-07-06;23:18:00
1162;06;114;2024-07-06;04:37:00
1162;06;114;2024-07-06;05:07:00
1162;06;114;2024-07-06;05:37:00
1162;06;114;2024-07-06;06:07:00
1162;06;114;2024-07-06;06:37:00
1162;06;114;2024-07-06;06:56:00
1162;06;114;2024-07-06;07:17:00
1162;06;114;2024-07-06;07:37:00
1162;06;114;2024-07-06;07:56:00
1162;06;114;2024-07-06;08:16:00
1162;06;114;2024-07-06;08:36:00
1162;06;114;2024-07-06;08:56:00
1162;06;114;2024-07-06;09:16:00
1162;06;114;2024-07-06;09:36:00
1162;06;114;2024-07-06;09:56:00
1162;06;114;2024-07-06;10:16:00
1162;06;114;2024-07-06;10:36:00
1162;06;114;2024-07-06;10:56:00
1162;06;114;2024-07-06;11:16:00
1162;06;114;2024-07-06;11:36:00
1162;06;114;2024-07-06;11:56:00
1162;06;114;2024-07-06;12:16:00
1162;06;114;2024-07-06;12:36:00
1162;06;114;2024-07-06;12:56:00
1162;06;114;2024-07-06;13:16:00
1162;06;114;2024-07-06;13:36:00
1162;06;114;2024-07-06;13:56:00
1162;06;114;2024-07-06;14:16:00
1162;06;114;2024-07-06;14:36:00
1162;06;114;2024-07-06;14:56:00
1162;06;114;2024-07-06;15:16:00
1162;06;114;2024-07-06;15:36:00
1162;06;114;2024-07-06;15:56:00
1162;06;114;2024-07-06;16:16:00
1162;06;114;2024-07-06;16:36:00
1162;06;114;2024-07-06;16:56:00
1162;06;114;2024-07-06;17:16:00
1162;06;114;2024-07-06;17:36:00
1162;06;114;2024-07-06;17:56:00
1162;06;114;2024-07-06;18:16:00
1162;06;114;2024-07-06;18:36:00
1162;06;114;2024-07-06;18:56:00
1162;06;114;2024-07-06;19:16:00
1162;06;114;2024-07-06;19:36:00
1162;06;114;2024-07-06;19:57:00
1162;06;114;2024-07-06;20:17:00
1162;06;114;2024-07-06;20:37:00
1162;06;114;2024-07-06;20:57:00
1162;06;114;2024-07-06;21:17:00
1162;06;114;2024-07-06;21:37:00
1162;06;114;2024-07-06;21:57:00
1162;06;114;2024-07-06;22:17:00
1162;06;114;2024-07-06;22:37:00
1162;06;114;2024-07-06;23:07:00
1013;03;114;2024-07-06;04:39:00
1013;03;114;2024-07-06;05:09:00
1013;03;114;2024-07-06;05:39:00
1013;03;114;2024-07-06;06:09:00
